N-gramm,Count
fast,57
jove,57
war,57
white,57
cerimon,57
choose,57
hate,56
counsel,56
office,56
pedant,56
work,55
went,55
adieu,55
folly,55
arms,55
herself,55
fools,55
straight,55
lack,55
fine,55
monster,55
fight,55
door,55
humour,55
lion,55
grow,55
dinner,55
entreat,54
wherefore,54
already,54
paper,54
salanio,54
promise,54
conrade,54
often,54
marriage,54
behind,54
scorn,53
royal,53
toby,53
days,53
passion,53
brook,53
gracious,53
heavy,53
ye,53
mouth,53
offence,53
bond,52
just,52
beat,52
drink,52
ursula,52
melancholy,52
side,52
sorrow,52
needs,52
hours,52
morrow,52
foolish,51
(,51
strike,51
forest,51
match,51
measure,51
water,51
beard,51
grave,51
prison,51
chamber,51
weep,51
dionyza,51
anon,50
person,50
parts,50
course,50
witness,50
bad,50
affection,50
ducats,49
lordship,49
hurt,49
yield,49
curtis,49
antigonus,49
're,49
behold,49
fairy,49
writ,49
common,49
pains,49
attend,49
dance,48
case,48
quick,48
e'er,48
want,48
point,48
country,48
plain,48
enemy,48
courtier,48
judgment,48
town,48
lips,47
learn,47
blow,47
loss,47
brave,47
laugh,47
speech,47
wherein,47
balthazar,47
base,47
going,47
chance,46
carry,46
uncle,46
gobbo,46
masters,46
lend,46
general,46
lover,46
niece,46
lives,46
offer,46
tune,46
highness,46
hearts,45
letters,45
wouldst,45
verges,45
living,45
ourselves,45
oaths,45
speaks,45
black,45
opinion,45
study,45
commend,45
tailor,45
tale,45
green,44
thither,44
judge,44
move,44
knowledge,44
faults,44
least,44
win,44
manner,44
fresh,44
labour,44
takes,44
hell,44
suffer,44
brief,44
lovers,44
audrey,44
cupid,44
bardolph,44
along,44
shows,43
pale,43
danger,43
whither,43
goodly,43
ways,43
taken,43
fortunes,43
field,43
whole,43
action,43
sorry,43
liberty,43
yonder,43
valour,43
died,43
ship,43
bold,43
vow,43
hearing,43
honesty,43
valiant,42
rugby,42
respect,42
to't,42
low,42
crown,42
desires,42
wall,42
people,42
jaquenetta,42
deed,42
arm,42
cheek,42
piece,42
awake,42
ta'en,42
ægeon,42
adam,42
teach,42
feast,42
harm,42
cross,41
try,41
forward,41
scarce,41
menelaus,41
force,41
grant,41
virtuous,41
called,41
mock,41
receive,41
anything,41
colour,41
issue,41
princes,41
shape,41
purse,41
second,41
f,40
abbess,40
consent,40
rare,40
mortal,40
honourable,40
book,40
quoth,40
slave,40
wood,40
boys,40
gaoler,40
perceive,40
silence,40
vile,39
hippolyta,39
knock,39
feed,39
loving,39
antiochus,39
angry,39
excuse,39
le,39
cast,39
proceed,39
forsworn,39
beg,39
bosom,39
woe,39
land,39
horns,39
city,39
among,39
creature,38
de,38
form,38
monsieur,38
brain,38
meat,38
servants,38
liege,38
sigh,38
wits,38
fancy,38
twice,38
wisdom,38
gift,38
forgot,38
pride,38
smile,38
calls,38
year,38
patient,38
francis,38
priest,37
ephesus,37
overdone,37
birth,37
hide,37
wench,37
street,37
france,37
search,37
deep,37
remedy,37
mirth,37
bloody,37
conscience,37
bears,37
pluck,37
swore,37
prayers,37
britain,36
whence,36
th,36
dark,36
steal,36
cressid,36
peter,36
pinch,36
cassandra,36
for't,36
vows,36
robin,36
discourse,36
majesty,36
'twixt,36
feel,36
won,36
fish,36
kept,35
nym,35
approach,35
story,35
beau,35
tent,35
thence,35
hundred,35
panthino,35
thief,35
owe,35
i.,35
presence,35
sharp,35
wars,35
taste,35
priam,35
food,35
sometime,35
padua,35
venice,35
grows,35
paid,35
drawn,35
motion,35
obey,35
holds,35
remembrance,35
close,34
courtesy,34
until,34
precious,34
drop,34
finger,34
third,34
shakespeare,34
hugh,34
press,34
drunk,34
catch,34
quite,34
cunning,34
order,34
flowers,34
fairies,34
credit,34
golden,34
leonine,34
diomed,33
pandar,33
saying,33
revenge,33
doing,33
seal,33
request,33
short,33
due,33
charles,33
subject,33
philario,33
choice,33
cheer,33
depart,33
whether,33
wild,33
roman,33
perform,33
beggar,33
abhorson,33
heir,33
toward,33
fat,33
greater,33
deeds,33
round,33
meaning,33
awhile,33
whilst,33
nose,33
thinks,33
argument,32
stranger,32
hit,32
boatswain,32
christian,32
thisbe,32
making,32
possible,32
ah,32
strength,32
hers,32
sometimes,32
barnardine,32
stuff,32
church,32
sons,32
stop,32
wealth,32
rough,32
mamillius,32
rogue,32
broke,32
legs,32
burn,32
milan,32
small,32
proper,32
gown,32
several,32
gentlewoman,32
manners,32
throw,32
blind,31
forbid,31
clothes,31
gar,31
protest,31
weak,31
hadst,31
whereof,31
know'st,31
coward,31
wast,31
'twill,31
greatness,31
trojan,31
fell,31
souls,31
proof,31
forget,31
sum,31
garments,31
becomes,31
banish,31
train,31
andrew,31
bitter,31
neck,31
grecian,31
worst,31
pound,31
kindness,31
virtues,31
sooner,31
jewel,31
shore,31
evil,31
dangerous,30
froth,30
tarry,30
although,30
stood,30
'gainst,30
dry,30
swift,30
fail,30
occasion,30
pure,30
winter,30
vice,30
vain,30
mopsa,30
assure,30
gate,30
delight,30
amen,30
quarrel,30
picture,30
'em,30
sings,30
ladyship,30
bestow,30
fellows,30
dispatch,30
saint,30
girl,29
heavenly,29
clear,29
works,29
fill,29
stir,29
wicked,29
view,29
apparel,29
offend,29
weary,29
rage,29
eglamour,29
visit,29
ones,29
ignorant,29
cornelius,29
modesty,29
shake,29
always,29
neighbour,29
noise,29
aught,29
embrace,29
bohemia,29
fairest,29
idle,29
blessed,29
amiens,29
sheep,29
effect,28
children,28
complexion,28
whiles,28
spare,28
shouldst,28
glass,28
trouble,28
lock,28
stars,28
silver,28
alive,28
mighty,28
sooth,28
seeming,28
double,28
forbear,28
deserve,28
maiden,28
poison,28
device,28
wanton,28
sort,28
learned,28
self,28
madness,28
forgive,28
skill,28
thisby,28
acquainted,28
french,28
divine,28
ours,28
bright,28
quiet,27
tenzero,27
dearest,27
officers,27
reputation,27
alack,27
puts,27
prisoner,27
spoken,27
wert,27
tyre,27
beast,27
slander,27
stone,27
hail,27
bastard,27
knowing,27
summer,27
terms,27
laid,27
tree,27
spend,27
natural,27
held,27
possess,27
safe,27
health,27
leisure,27
appears,27
gallant,27
encounter,27
absence,27
sailor,27
trick,27
—i,27
undone,27
challenge,27
loud,27
burden,27
mere,27
virgin,27
charity,26
knights,26
pleas,26
tubal,26
season,26
mayst,26
heat,26
bow,26
prepare,26
remain,26
beyond,26
wed,26
dies,26
stomach,26
slow,26
flute,26
bought,26
courage,26
undertake,26
perfect,26
island,26
crowns,26
taught,26
drum,26
cruel,26
anger,26
wine,26
demand,26
windsor,26
fled,26
big,26
falls,26
hercules,26
virginity,26
traitor,26
—for,26
forsooth,26
trumpet,25
kings,25
sleeps,25
plague,25
gain,25
broken,25
follows,25
—that,25
