N-gramm,Count
are in,29
can do,29
it hath,29
do me,29
me be,29
a servant,29
achilles thersites,29
go and,29
in some,29
may not,29
be but,29
have some,29
your ladyship,29
for such,29
love her,29
it that,29
desire to,29
will tell,29
had i,29
how he,29
so well,29
if ever,29
the love,29
what should,29
is very,29
is like,29
if my,29
to bear,29
made me,29
two the,29
were you,29
claudio benedick,29
thersites achilles,29
it the,29
the name,29
thou didst,29
as your,29
his daughter,29
leontes paulina,28
i leave,28
is well,28
was in,28
dir ford,28
you look,28
them all,28
from your,28
again and,28
by thy,28
some of,28
have given,28
am glad,28
as in,28
imogen pisanio,28
your son,28
hear you,28
told me,28
now to,28
be thy,28
that did,28
thank thee,28
claudio leonato,28
or no,28
the chain,28
i live,28
four act,28
her for,28
i wish,28
be married,28
of good,28
make you,28
sir for,28
i like,28
imogen stage,28
i knew,28
sir he,28
didst thou,28
here to,28
make it,28
they shall,28
portia nerissa,28
now in,28
the hand,28
are they,28
father and,28
come not,28
by and,28
to bring,28
you make,28
this the,28
you both,28
your wife,28
king of,28
the thing,28
this letter,28
these are,28
your name,28
sir andrew,28
no further,28
so you,28
you he,27
to them,27
in it,27
your master,27
name is,27
here the,27
he must,27
or to,27
pandarus troilus,27
house and,27
trinculo stephano,27
the field,27
and take,27
the lord,27
believe me,27
claudio stage,27
thee well,27
me so,27
he does,27
and others,27
in mine,27
marry her,27
so to,27
why this,27
for our,27
against my,27
me now,27
thy love,27
well sir,27
parolles stage,27
put on,27
servant one,27
under the,27
have my,27
this time,27
comes to,27
bring you,27
head and,27
bring me,27
to whom,27
till he,27
me leave,27
now what,27
i gave,27
in hand,27
the door,26
i find,26
is dead,26
heart and,26
every one,26
have her,26
to look,26
how you,26
this gentleman,26
i charge,26
my poor,26
dir now,26
is one,26
not do,26
her love,26
shallow slender,26
have said,26
five scene,26
one act,26
cressida stage,26
what your,26
troilus stage,26
not by,26
been a,26
were as,26
me from,26
antonio stage,26
it please,26
do as,26
another part,26
life and,26
that time,26
now you,26
this day,26
not like,26
and never,26
up and,26
and mine,26
king and,26
fear not,26
this and,26
all these,26
say the,26
end of,26
in you,26
maria stage,26
berowne rosaline,26
him from,26
page and,26
that shall,26
troilus pandarus,26
not say,26
will come,26
thy hand,26
and would,26
bottom quince,26
and such,26
from a,26
bassanio portia,26
o sir,26
valentine duke,26
against the,26
the boy,26
you good,26
may i,26
a king,26
once more,26
thy father,26
and see,26
of thee,26
rosaline berowne,26
not me,26
mean to,26
pedro leonato,26
and other,26
she can,26
ay but,26
but when,26
her husband,26
unto the,26
benedick claudio,26
why should,26
am sorry,26
care not,26
brother and,25
give her,25
dir pandarus,25
time i,25
the air,25
fabian belch,25
never saw,25
him at,25
i care,25
the place,25
is most,25
and every,25
me sir,25
take this,25
here my,25
and more,25
will he,25
thousand ducats,25
thou to,25
from him,25
have we,25
my head,25
and good,25
me here,25
comes the,25
leonato don,25
even to,25
one a,25
go in,25
in and,25
is i,25
hand i,25
you take,25
we can,25
see thee,25
good will,25
it from,25
since you,25
is for,25
me out,25
in an,25
nor i,25
love me,25
that his,25
quickly falstaff,25
why sir,25
and bring,25
to find,25
you here,25
it a,25
lords and,25
the end,25
love that,25
that was,25
call you,25
so it,25
will and,25
i but,25
him so,25
beseech your,25
take your,25
trust me,25
evans stage,25
it by,25
but let,25
imogen iachimo,25
is mine,25
for thou,25
what news,25
your eyes,25
do the,25
think of,25
my tongue,25
came to,25
do and,25
welcome to,25
we were,25
so please,25
come sir,24
is gone,24
to save,24
page shallow,24
o i,24
iachimo imogen,24
it on,24
did he,24
say to,24
i a,24
master page,24
must needs,24
what we,24
all is,24
by her,24
then let,24
it can,24
of death,24
no my,24
be of,24
angelo stage,24
his heart,24
not well,24
dir come,24
my sweet,24
the princess,24
she had,24
rather than,24
in what,24
my sister,24
not love,24
dir servant,24
at that,24
me thy,24
all his,24
the worst,24
the heart,24
shall you,24
all and,24
so he,24
might be,24
and bid,24
is and,24
prospero stage,24
in these,24
so but,24
all i,24
the eye,24
but now,24
why he,24
clown malvolio,24
and most,24
by that,24
get thee,24
my part,24
leonato claudio,24
make her,24
think it,24
not hear,24
i believe,24
see him,24
or if,24
